id,title,url,ref_url,graphic_type,category,alt,client
delhi-pollution,Delhi pollution,projects/dataviz-gallery/images/delhi-pollution.webp,,chart,"environment, health, science","Charts showing Delhi's annual PM2.5 pollution spikes and northern fires from 2016 to 2019, highlighting the impact of the Diwali festival.",reuters
earthquake-in-albania,Earthquake in Albania,projects/dataviz-gallery/images/earthquake-in-albania.webp,,chart,"natural-disaster, science","Map of the Nov 2019 Albania earthquake showing the 6.4 magnitude epicenter near Tirana, with color-coded shake intensity zones across the region.",reuters
estimated-effects-on-russian-gas-flows,Estimated effects on Russian gas flows,projects/dataviz-gallery/images/estimated-effects-on-russian-gas-flows.webp,,chart,"energy, economy, politics","Stacked area chart showing estimated 2022-2023 Russian gas flow risks, divided into unaffected, Ukraine transit risk, and Nord Stream 2 cancellation.",reuters
fifa-womens-world-cup-france-2019,FIFA Women's World Cup France 2019,projects/dataviz-gallery/images/fifa-womens-world-cup-france-2019.webp,,chart,"sports, society","A circular diagram tracking the 2019 FIFA Women’s World Cup, showing the progression of teams from the group stage to the USA’s final victory.",reuters
fall-armyworm-invasion,Fall Armyworm invasion,projects/dataviz-gallery/images/fall-armyworm-invasion.webp,,chart,"science, economy, society","A map showing the spread of the fall armyworm across Africa and Asia from 2016 to 2019, shaded by year of detection.",reuters
fate-of-global-plastic,Fate of global plastic,projects/dataviz-gallery/images/fate-of-global-plastic.webp,,chart,"environment, science, economy","A Sankey diagram showing the 1950-2015 global plastic lifecycle, where 8,300 million tonnes of plastic resulted in 4,600 million tonnes discarded.",reuters
floods-in-germany,Floods in Germany,projects/dataviz-gallery/images/floods-in-germany.webp,,map,"natural-disaster, society","A map of Germany highlighting regions affected by July 2021 floods, noting 103 deaths and missing people in North Rhine-Westphalia and Rhineland-Palatinate.",reuters
food-insecurity-due-to-locusts-in-east-africa,Food insecurity due to locusts in East Africa,projects/dataviz-gallery/images/food-insecurity-due-to-locusts-in-east-africa.webp,,map,"environment, society, economy","Map showing desert locust infestations across East Africa and Yemen, with color-coded food insecurity levels ranging from minimal to emergency.",reuters
gender-laws-around-the-world,Gender laws around the world,projects/dataviz-gallery/images/gender-laws-around-the-world.webp,,chart,"society, politics, health","A world map showing legal statuses for same-sex relations and protections, with countries color-coded by levels of legal rights or persecution.",reuters
germany-shooting,Germany shooting,projects/dataviz-gallery/images/germany-shooting.webp,,map,"conflict, society, misc","Satellite map of Hanau, Germany showing the locations of the 2020 shooting at two bars and the path between them.",reuters
global-fossil-fuel-production-projected-to-miss-paris-climate-accord-goals,Global fossil fuel production projected to miss Paris Climate Accord goals,projects/dataviz-gallery/images/global-fossil-fuel-production-projected-to-miss-paris-climate-accord-goals.webp,,chart,"environment, energy, science",Line chart showing fossil fuel production projections significantly exceeding climate goals for 1.5°C and 2°C warming limits through 2040.,reuters
guineas-bauxite-production-and-exports,Guinea's bauxite production and exports,projects/dataviz-gallery/images/guineas-bauxite-production-and-exports.webp,,chart,"economy, energy","Bar chart showing Guinea's bauxite production and exports from 2015 to 2021, with production peaking at 87.8 million tonnes in 2020.",reuters
heavy-rainfall-in-germany,Heavy rainfall in Germany,projects/dataviz-gallery/images/heavy-rainfall-in-germany.webp,,chart,"natural-disaster, environment, science","Map showing spikes in rainfall across Germany on July 13 and 14, 2021, with peak intensity in North Rhine-Westphalia and Rhineland-Palatinate.",reuters
history-of-conflicts-in-ukraine,History of conflicts in Ukraine,projects/dataviz-gallery/images/history-of-conflicts-in-ukraine.webp,,map,"conflict, politics, economy",A map titled History of conflicts in Ukraine shows data on regional clashes and the 2014 annexation of Crimea with highlighted event spikes.,reuters
hong-kong-residents-flee-to-taiwan,Hong Kong residents flee to Taiwan,projects/dataviz-gallery/images/hong-kong-residents-flee-to-taiwan.webp,,chart,"politics, economy, society","A bar chart showing the number of Hong Kong and Macau residents granted Taiwan residency from 1992 to 2017, highlighting a recent increase.",reuters
how-assad-used-a-shady-jet-to-carry-valuables-out-of-syria,How Assad used a shady jet to carry valuables out of Syria,projects/dataviz-gallery/images/how-assad-used-a-shady-jet-to-carry-valuables-out-of-syria.webp,,map,"politics, economy, science","Four maps showing a private plane's flight paths between the UAE and Syria from Dec. 6-8, 2024, including a landing at a Russian air base.",reuters
how-the-coronavirus-spread-undetected-in-the-uk,How the coronavirus spread undetected in the UK,projects/dataviz-gallery/images/how-the-coronavirus-spread-undetected-in-the-uk.webp,,chart,"covid-19, health, science",Infographic showing how COVID-19 infections were estimated from mortality data in the UK through charts and regional maps.,reuters
hungarian-boat-capsized,Hungarian boat capsized,projects/dataviz-gallery/images/hungarian-boat-capsized.webp,,map,"society, misc","Satellite map of the Danube in Budapest showing the location where a tourist boat sank after colliding with another vessel on May 29, 2019.",reuters
indonesia-plane-crash,Indonesia plane crash,projects/dataviz-gallery/images/indonesia-plane-crash.webp,,map,"society, misc","Map showing the flight path of Sriwijaya Air flight SJ182 over the Java Sea before losing contact near Jakarta, Indonesia.",reuters
israel-2019-parliamentary-elections,Israel 2019 parliamentary elections,projects/dataviz-gallery/images/israel-2019-parliamentary-elections.webp,,chart,"politics, economy","A bar chart shows the 2019 Israel parliamentary election results, depicting seat distribution among left and right-wing parties totaling 120 seats.",reuters
israel-2019-snap-election,Israel 2019 snap election,projects/dataviz-gallery/images/israel-2019-snap-election.webp,,chart,"politics, economy","Bar chart showing Israel’s 2019 election seat distribution, split between 57 left-wing and 63 right-wing seats totaling 120.",reuters
israel-2020-election,Israel 2020 election,projects/dataviz-gallery/images/israel-2020-election.webp,,chart,"politics, economy",A horizontal bar chart detailing the seat distribution in the 120-seat Israeli Knesset following the March 2020 election by political alignment.,reuters
israel-election,Israel election,projects/dataviz-gallery/images/israel-election.webp,,chart,"politics, economy","A bar chart showing the 120-seat Knesset distribution among Israeli political parties, divided by ideological alignment, with Likud holding 36 seats.",reuters
israels-annexation-plans,Israel’s annexation plans,projects/dataviz-gallery/images/israels-annexation-plans.webp,,map,"politics, conflict, society","Map showing Israeli annexation plans for the West Bank, detailing control zones, proposed annexed areas, and existing settlements.",reuters
june-2021-heat-waves,June 2021 heat waves,projects/dataviz-gallery/images/june-2021-heat-waves.webp,,chart,"environment, science, economy","A map and chart show record-high June 2021 global temperatures, with heat anomalies highlighted in orange over North America, Europe, and Siberia.",reuters
key-events-in-the-life-of-colin-powell,Key events in the life of Colin Powell,projects/dataviz-gallery/images/key-events-in-the-life-of-colin-powell.webp,,chart,"politics, society, history","A timeline infographic titled ""Key events in the life of Colin Powell"" detailing his military and political career with photos.",reuters
less-work-in-germany,Less work in Germany,projects/dataviz-gallery/images/less-work-in-germany.webp,,chart,"economy, society","Line chart showing rising number of German employees on short-time ""Kurzarbeit"" contracts from 2018 to early 2020, with a year-end dip noted.",reuters
lithium-mining-in-portugal,Lithium mining in Portugal,projects/dataviz-gallery/images/lithium-mining-in-portugal.webp,,map,"energy, economy, science, environment","Map of Portugal highlighting lithium reserves in cross-hatched patterns and protected green zones, illustrating mining conflicts in the region.",reuters
locusts-in-east-africa,Locusts in East Africa,projects/dataviz-gallery/images/locusts-in-east-africa.webp,,map,"environment, science, society","A map showing areas in East Africa affected by desert locust swarms, highlighting infestation zones across various countries.",reuters
long-waitlists-at-englands-hospitals,Long waitlists at England's hospitals,projects/dataviz-gallery/images/long-waitlists-at-englands-hospitals.webp,,chart,"health, covid-19, society",A line chart shows England's hospital waitlist reaching a record 5.7 million people by August 2021 after a dip during the 2020 pandemic.,reuters
map-of-enerhodar-city,Map of Enerhodar city,projects/dataviz-gallery/images/map-of-enerhodar-city.webp,,map,"conflict, energy, politics","Map of Enerhodar, Ukraine, highlighting the Zaporizhzhia nuclear plant, thermal power plant, and residential areas under Russian occupation.",reuters
mauritius-oil-spill,Mauritius oil spill,projects/dataviz-gallery/images/mauritius-oil-spill.webp,,map,"environment, science, misc","A satellite map shows a yellow-dotted area indicating an oil spill from the MV Wakashio off the coast of Mauritius, dated August 2020.",reuters
mineral-wealth-of-drc,Mineral wealth of DRC,projects/dataviz-gallery/images/mineral-wealth-of-drc.webp,,map,"conflict, economy, politics","A map showing areas of eastern Congo controlled by M23 rebels, marked in red, alongside locations of gold and other mineral mines.",reuters
moonshot,Moonshot,projects/dataviz-gallery/images/moonshot.webp,,chart,"science, space",Infographic showing NASA's location of India's Chandrayaan-2 Vikram lander crash site near the Moon's south pole via lunar surface imagery.,reuters
moscow-plane-crash,Moscow plane crash,projects/dataviz-gallery/images/moscow-plane-crash.webp,,chart,"misc, society","Infographic showing the flight path and emergency landing of Aeroflot flight SU 1492 at Moscow’s Sheremetyevo airport on May 5, 2019.",reuters
moves-in-sterling,Moves in sterling,projects/dataviz-gallery/images/moves-in-sterling.webp,,chart,"economy, politics","A line chart showing the British pound's fluctuating value against the U.S. dollar from 1960 to 2019, annotated with key historical economic events.",reuters
natos-vulnerable-eastern-flank,NATO’s vulnerable eastern flank,projects/dataviz-gallery/images/natos-vulnerable-eastern-flank.webp,,map,"politics, science, misc","Map showing NATO countries in blue and Russian economic zones, highlighting the Kadetrinne and Suwalki corridor as strategic bottlenecks.",reuters
natural-gas-exported-from-russia-in-2020,Natural gas exported from Russia in 2020,projects/dataviz-gallery/images/natural-gas-exported-from-russia-in-2020.webp,,chart,"energy, economy, politics","Treemap chart showing 2020 Russian natural gas exports. Germany leads at 38.2 billion cubic meters, followed by other nations in Europe and Asia.",reuters
nigeria-protests,Nigeria protests,projects/dataviz-gallery/images/nigeria-protests.webp,,map,"conflict, society, politics","A map of Nigeria showing the number of deaths during the #EndSARS protests on October 20, 2020, with circles indicating casualties in various cities.",reuters
nord-stream-2-sabotage,Nord Stream 2 sabotage,projects/dataviz-gallery/images/nord-stream-2-sabotage.webp,,map,"energy, politics, conflict","Map showing Nord Stream pipeline routes from Russia to Germany across the Baltic Sea, noting the suspension of the Nord Stream 2 project.",reuters
pace-of-covid-19-vaccinations-in-india,Pace of COVID-19 vaccinations in India,projects/dataviz-gallery/images/pace-of-covid-19-vaccinations-in-india.webp,,chart,"covid-19, health, science","Chart comparing daily COVID-19 vaccinations per million people in India versus the US, UK, EU, and Israel from January to June 2021.",reuters
palestinians-killed-in-gaza-war,Palestinians killed in Gaza war,projects/dataviz-gallery/images/palestinians-killed-in-gaza-war.webp,,chart,"conflict, health, society","A bar chart showing the cumulative number of Palestinians killed in the Gaza war from Oct. 7, 2023, reaching over 19,667 by mid-December.",reuters
path-of-cyclone-vayu,Path of cyclone Vayu,projects/dataviz-gallery/images/path-of-cyclone-vayu.webp,,chart,"natural-disaster, science, society",A map showing the predicted path and wind intensity of Cyclone Vayu moving north along the coast of India toward Gujarat in June 2019.,reuters
population-exodus-hits-new-record,Population exodus hits new record,projects/dataviz-gallery/images/population-exodus-hits-new-record.webp,,chart,"society, conflict, economy","A chart showing 80 million people forcibly displaced worldwide since 1990, highlighting top countries of origin and destination by 2019.",reuters
portugal-2019-parliamentary-elections,Portugal 2019 parliamentary elections,projects/dataviz-gallery/images/portugal-2019-parliamentary-elections.webp,,chart,"politics, economy","A horizontal bar chart showing the 2019 Portugal parliamentary election results, where the Socialist Party won 106 of 230 total seats.",reuters
potential-landing-sites-of-chandrayaan-2,Potential landing sites of Chandrayaan-2,projects/dataviz-gallery/images/potential-landing-sites-of-chandrayaan-2.webp,,chart,"science, space","A lunar map identifying Chandrayaan-2's primary and alternate landing sites near the Moon's South Pole, near Shackleton crater.",reuters
racism-in-english-football,Racism in English football,projects/dataviz-gallery/images/racism-in-english-football.webp,,chart,"society, sports, economy",A bar chart showing rising racist and discriminatory incident reports in English professional soccer matches and online from 2014 to 2020.,reuters
reading-the-brexit-tea-leaves,Reading the Brexit tea leaves,projects/dataviz-gallery/images/reading-the-brexit-tea-leaves.webp,,chart,"economy, politics",Charts show the British pound’s value against the dollar and speculative bets on its strength or weakness related to Brexit between 2017 and 2019.,reuters
remembering-d-day,Remembering D-Day,projects/dataviz-gallery/images/remembering-d-day.webp,,chart,"history, science, society","Infographic detailing D-Day statistics, territorial control maps, and Normandy beach landing progress for Allied troops in June 1944.",reuters
rosnefts-flights-to-holiday-destinations,Rosneft's flights to holiday destinations,projects/dataviz-gallery/images/rosnefts-flights-to-holiday-destinations.webp,,chart,"economy, politics, society","A chart showing Rosneft business jet flights from Moscow to various holiday destinations, highlighting trip frequency and distance.",reuters
rush-for-covid-19-vaccinations-in-india,Rush for COVID-19 vaccinations in India,projects/dataviz-gallery/images/rush-for-covid-19-vaccinations-in-india.webp,,chart,"covid-19, health, society","An area chart shows 10.5 million registrations on India's CoWIN portal, contrasted with a low number of actual vaccinations for 18-44 year olds.",reuters
russia-invades-ukraine,Russia invades Ukraine,projects/dataviz-gallery/images/russia-invades-ukraine.webp,,map,"conflict, politics, society","A map showing Russian military advances and conflict points in Ukraine on Feb 25, 2022, featuring red arrows indicating invasion directions.",reuters
russia-plans-to-annex-ukrainian-regions-in-the-east,Russia plans to annex Ukrainian regions in the east,projects/dataviz-gallery/images/russia-plans-to-annex-ukrainian-regions-in-the-east.webp,,map,"conflict, politics, society","A map showing Russian-occupied areas in eastern and southern Ukraine, highlighting Luhansk, Donetsk, Zaporizhzhia, and Kherson regions.",reuters
russian-control-in-eastern-ukraine,Russian control in eastern Ukraine,projects/dataviz-gallery/images/russian-control-in-eastern-ukraine.webp,,map,"conflict, politics, society","Map shows Russian-occupied Ukraine in light red and fortifications in dark red, highlighting the strategic push toward the city of Pokrovsk.",reuters
russian-forces-at-the-edge-of-kyiv,Russian forces at the edge of Kyiv,projects/dataviz-gallery/images/russian-forces-at-the-edge-of-kyiv.webp,,map,"conflict, politics","A map showing Russian forces encircling Kyiv, Ukraine, marking occupied territory and advances around the city as of March 2022.",reuters
saudi-arabia-crude-oil-exports,Saudi Arabia crude-oil exports,projects/dataviz-gallery/images/saudi-arabia-crude-oil-exports.webp,,chart,"energy, economy","A stacked bar chart showing Saudi Arabia's monthly crude oil exports by destination from 2017 to 2019, measured in millions of barrels per day.",reuters
saudi-oil-facilities-attacked,Saudi oil facilities attacked,projects/dataviz-gallery/images/saudi-oil-facilities-attacked.webp,,map,"conflict, energy, politics","Map showing the location of two Saudi Aramco oil pumping stations in Saudi Arabia targeted by drone attacks on May 15, 2019.",reuters
successful-lunar-soft-landing-sites,Successful lunar soft landing sites,projects/dataviz-gallery/images/successful-lunar-soft-landing-sites.webp,,chart,"science, society","A lunar map showing successful soft-landing sites by the USSR, USA, and China, with green squares marking India's Chandrayaan-2 potential sites.",reuters
thawing-permafrost-puts-global-climate-warming-in-spotlight,Thawing permafrost puts global climate warming in spotlight,projects/dataviz-gallery/images/thawing-permafrost-puts-global-climate-warming-in-spotlight.webp,,chart,"environment, science, economy","A polar view map shows projected near-surface permafrost loss in the Arctic by 2080, highlighting significant shrinkage in shaded blue zones.",reuters
the-european-parliament-after-brexit,The European Parliament after Brexit,projects/dataviz-gallery/images/the-european-parliament-after-brexit.webp,,chart,"politics, economy, society",A color-coded grid map showing the distribution of 705 European Parliament members by country and political group following the 2020 Brexit changes.,reuters
the-battle-for-bakhmut,The battle for Bakhmut,projects/dataviz-gallery/images/the-battle-for-bakhmut.webp,,map,"conflict, politics, society","A map showing military control in the Bakhmut region of Ukraine as of March 13, 2023, with red indicating Russian and yellow indicating Ukrainian zones.",reuters
top-exporters-of-fertilizers,Top exporters of fertilizers,projects/dataviz-gallery/images/top-exporters-of-fertilizers.webp,,chart,"economy, science","A horizontal bar chart showing the top fertilizer exporters, led by Russia (41.4B) down to Iran (2.4B), based on 2016-2020 UN Comtrade data.",reuters
top-importers-of-fertilizers-from-russia-and-belarus,Top importers of fertilizers from Russia and Belarus,projects/dataviz-gallery/images/top-importers-of-fertilizers-from-russia-and-belarus.webp,,chart,"economy, science, society","A horizontal bar chart showing top fertilizer importers from Russia (dark blue), Belarus (light blue), and others (grey) between 2016-2020.",reuters
tour-de-france-2020,Tour de France 2020,projects/dataviz-gallery/images/tour-de-france-2020.webp,,map,"sports, misc","Map of the 2020 Tour de France route across France, showing 21 stages, elevation profiles, and key cities from Nice to Paris.",reuters
tour-de-france-2021,Tour de France 2021,projects/dataviz-gallery/images/tour-de-france-2021.webp,,map,"sports, misc","A map showing the 2021 Tour de France route across France, featuring 21 numbered stages, an elevation profile, and key city labels.",reuters
tour-de-france-2023,Tour de France 2023,projects/dataviz-gallery/images/tour-de-france-2023.webp,,chart,"sports, geography","Map of the 2023 Tour de France route from Bilbao to Paris, showing 21 numbered stages, mountain profiles, and geographic highlights.",reuters
tracking-the-russian-invasion-of-ukraine-ukraine-conflict,Tracking the Russian invasion of Ukraine Ukraine conflict,projects/dataviz-gallery/images/tracking-the-russian-invasion-of-ukraine-ukraine-conflict.webp,,map,"conflict, politics, society","A map of Ukraine as of March 7, 2022, showing Russian-occupied territories in red, troop movement arrows, and key conflict locations and cities.",reuters
trends-in-covid-19-infections-and-hospitalisations-in-israel-following-vaccinations,Trends in COVID-19 infections and hospitalisations in Israel following vaccinations,projects/dataviz-gallery/images/trends-in-covid-19-infections-and-hospitalisations-in-israel-following-vaccinations.webp,,chart,"covid-19, health, science","Bar chart showing a decline in COVID-19 cases, hospitalizations, and severe illness in Israel among people 60+ between Jan 16 and Feb 6, 2021.",reuters
trumps-middle-east-peace-plan,Trump's Middle East peace plan,projects/dataviz-gallery/images/trumps-middle-east-peace-plan.webp,,map,"politics, economy, society","Map showing proposed 2020 U.S. peace plan borders for Palestine, featuring the West Bank and Gaza Strip with Israeli settlements and enclaves.",reuters
uk-health-and-social-care-tax-bill-passed,UK health and social care tax bill passed,projects/dataviz-gallery/images/uk-health-and-social-care-tax-bill-passed.webp,,chart,"politics, economy","A parliament-style chart showing 319 Ayes (blue), 250 Noes (red/yellow/orange), and 81 Not voted (grey), categorized by political party.",reuters
ukraine-loses-territory-in-kursk,Ukraine loses territory in Kursk,projects/dataviz-gallery/images/ukraine-loses-territory-in-kursk.webp,,map,"conflict, politics, misc","Map showing changing control of territory in Russia's Kursk region, with red indicating Russian reclaimed areas and blue showing Ukrainian-held land.",reuters
ukraine-ramps-up-its-military-budget,Ukraine ramps up its military budget,projects/dataviz-gallery/images/ukraine-ramps-up-its-military-budget.webp,,chart,"economy, politics, conflict",Bar charts showing Ukraine’s military/security budget rising to 5.95% of GDP in 2022 and global 2020 spending comparisons by country.,reuters
ukraines-battle-against-russias-drone-swarms,Ukraine's battle against Russia's drone swarms,projects/dataviz-gallery/images/ukraines-battle-against-russias-drone-swarms.webp,,chart,"conflict, politics, misc","A bar chart showing a significant rise in Russian drone attacks on Ukraine from 2024 to 2026, with orange bars representing launched vs intercepted drones.",reuters
ukraines-military-strength,Ukraine's military strength,projects/dataviz-gallery/images/ukraines-military-strength.webp,,chart,"conflict, politics, society",Infographic comparing Ukraine's military assets in 2014 and 2020 via bar charts and contrasting total force sizes between Russia and Ukraine.,reuters
ukraines-supply-to-the-world-food-programme,Ukraine's supply to the World Food Programme,projects/dataviz-gallery/images/ukraines-supply-to-the-world-food-programme.webp,,chart,"economy, society, science","Area chart showing Ukraine's increasing food supply to the World Food Programme from 2015 to 2020, rising from 147,811 to 424,000 metric tons.",reuters
vaccine-prices-in-india,Vaccine prices in India,projects/dataviz-gallery/images/vaccine-prices-in-india.webp,,chart,"health, covid-19, economy","A dot plot chart shows varied COVID-19 vaccine prices in Indian states at private hospitals, ranging from roughly 200 to 1,800 rupees per dose.",reuters
wildfires-in-turkey,Wildfires in Turkey,projects/dataviz-gallery/images/wildfires-in-turkey.webp,,chart,"environment, natural-disaster, economy","Map and charts showing 2021 Turkish wildfire locations, spike in fire counts, and massive increase in total hectares burnt versus the 2008-2020 average.",reuters
young-indian-unvaccinated,"Young, Indian, Unvaccinated",projects/dataviz-gallery/images/young-indian-unvaccinated.webp,,chart,"covid-19, health, society","Heatmap showing India's 18+ vaccination sessions by state, May 29–June 4, 2021, illustrating varying appointment availability per district.",reuters
